"Ad_ID","Campaign_Name","Clicks","Impressions","Cost","Leads","Conversions","conversion_rate","Sale_Amount","Ad_Date","Location","Device","Keyword"
"A1023","Data Analytics Course",188.0,5798.0,230.17,28.0,5.0,0.047,1452,"2024-11-30","Hyderabad","tablet","data analytics course"
"A1024","Data Analytics Course",87.0,3718.0,0.0,12.0,3.0,0.034,1652,"2024-11-20","Hyderabad","tablet","learn data analytics"
"A1025","Data Analytics Course",88.0,3349.0,181.92,22.0,8.0,0.091,1456,"2024-11-20","Hyderabad","tablet","learn data analytics"
"A1026","Data Analytics Course",119.0,5323.0,205.92,17.0,10.0,0.06,1656,"2024-11-02","Hyderabad","desktop","online data analytics"
"A1028","Data Analytics Course",128.0,5469.0,188.49,16.0,3.0,0.0,1783,"2024-11-23","Hyderabad","mobile","learn data analytics"
"A1029","Data Analytics Course",86.0,3351.0,237.75,21.0,9.0,0.105,1975,"2024-11-13","Hyderabad","mobile","analytics for data"
"A1030","Data Analytics Course",188.0,4834.0,213.58,15.0,4.0,0.021,1590,"2024-11-08","Hyderabad","tablet","online data analytics"
"A1031","Data Analytics Course",113.0,5065.0,212.37,11.0,5.0,0.0,1111,"2024-11-22","Hyderabad","desktop","online data analytics"
"A1033","Data Analytics Course",176.0,5509.0,234.59,19.0,7.0,0.054,1710,"2024-11-03","Hyderabad","tablet","data analytics course"
"A1034","Data Analytics Course",121.0,5610.0,214.96,23.0,8.0,0.0,0,"2024-11-25","Hyderabad","mobile","data analytics course"
"A1035","Data Analytics Course",104.0,5275.0,236.48,16.0,9.0,0.031,1824,"2024-11-01","Hyderabad","desktop","data analytics training"
"A1036","Data Analytics Course",146.0,5939.0,242.9,11.0,8.0,0.035,1833,"2024-11-07","Hyderabad","desktop","data analytics training"
"A1037","Data Analytics Course",123.0,5131.0,0.0,19.0,5.0,0.041,1307,"2024-11-09","Hyderabad","mobile","learn data analytics"
"A1038","Data Analytics Course",90.0,5786.0,197.55,11.0,6.0,0.043,1704,"2024-11-16","Hyderabad","mobile","online data analytics"
"A1039","Data Analytics Course",171.0,4304.0,192.61,17.0,10.0,0.058,1427,"2024-11-26","Hyderabad","mobile","learn data analytics"
"A1040","Data Analytics Course",94.0,5549.0,231.23,25.0,9.0,0.096,1849,"2024-11-12","Hyderabad","mobile","data analytics training"
"A1041","Data Analytics Course",112.0,4271.0,196.07,27.0,6.0,0.0,1209,"2024-11-14","Hyderabad","desktop","data analytics online"
"A1042","Data Analytics Course",113.0,4418.0,191.55,27.0,10.0,0.0,1634,"2024-11-09","Hyderabad","mobile","data analytics course"
"A1043","Data Analytics Course",145.0,3721.0,180.95,21.0,7.0,0.048,1960,"2024-11-29","Hyderabad","desktop","data analytics online"
"A1044","Data Analytics Course",197.0,5783.0,204.46,23.0,6.0,0.0,1729,"2024-11-01","Hyderabad","tablet","data analytics training"
"A1045","Data Analytics Course",109.0,4866.0,236.78,27.0,5.0,0.0,1585,"2024-11-15","Hyderabad","mobile","online data analytics"
"A1046","Data Analytics Course",188.0,5857.0,222.98,20.0,4.0,0.048,1303,"2024-11-11","Hyderabad","desktop","data analytics training"
"A1047","Data Analytics Course",142.0,5103.0,234.1,24.0,3.0,0.021,1835,"2024-11-08","Hyderabad","mobile","analytics for data"
"A1048","Data Analytics Course",168.0,4653.0,240.84,27.0,9.0,0.054,1367,"2024-11-24","Hyderabad","mobile","online data analytics"
"A1049","Data Analytics Course",110.0,3524.0,248.86,19.0,10.0,0.091,1524,"2024-11-21","Hyderabad","mobile","learn data analytics"
"A1050","Data Analytics Course",192.0,5938.0,182.84,26.0,5.0,0.039,1080,"2024-11-12","Hyderabad","mobile","analytics for data"
"A1051","Data Analytics Course",101.0,3942.0,206.62,16.0,5.0,0.05,1746,"2024-11-24","Hyderabad","tablet","analytics for data"
"A1052","Data Analytics Course",157.0,3315.0,189.56,15.0,10.0,0.064,1026,"2024-11-25","Hyderabad","mobile","online data analytics"
"A1053","Data Analytics Course",113.0,4945.0,187.66,15.0,10.0,0.0,1564,"2024-11-26","Hyderabad","tablet","learn data analytics"
"A1054","Data Analytics Course",96.0,3166.0,196.15,29.0,7.0,0.073,1902,"2024-11-26","Hyderabad","desktop","learn data analytics"
"A1055","Data Analytics Course",125.0,4223.0,183.68,15.0,6.0,0.0,1267,"2024-11-05","Hyderabad","desktop","data analytics online"
"A1056","Data Analytics Course",104.0,4798.0,210.1,18.0,3.0,0.0,1340,"2024-11-21","Hyderabad","desktop","analytics for data"
"A1057","Data Analytics Course",194.0,5655.0,208.58,13.0,6.0,0.031,1692,"2024-11-16","Hyderabad","mobile","data analytics training"
"A1058","Data Analytics Course",144.0,5140.0,219.48,19.0,8.0,0.047,1054,"2024-11-18","Hyderabad","desktop","data analytics online"
"A1059","Data Analytics Course",179.0,3025.0,238.81,17.0,3.0,0.017,0,"2024-11-11","Hyderabad","mobile","data analytics online"
"A1060","Data Analytics Course",166.0,5223.0,189.76,18.0,7.0,0.042,1219,"2024-11-16","Hyderabad","tablet","data analytics course"
"A1061","Data Analytics Course",166.0,5089.0,0.0,26.0,7.0,0.042,1946,"2024-11-11","Hyderabad","tablet","analytics for data"
"A1062","Data Analytics Course",118.0,5016.0,204.31,19.0,9.0,0.045,1833,"2024-11-08","Hyderabad","desktop","analytics for data"
"A1063","Data Analytics Course",185.0,3617.0,222.32,24.0,7.0,0.038,1963,"2024-11-23","Hyderabad","mobile","data analytics course"
"A1064","Data Analytics Course",116.0,3764.0,232.03,28.0,10.0,0.086,1348,"2024-11-20","Hyderabad","tablet","data analytics course"
"A1065","Data Analytics Course",99.0,4489.0,183.73,15.0,6.0,0.061,1264,"2024-11-05","Hyderabad","desktop","online data analytics"
"A1066","Data Analytics Course",172.0,4441.0,221.18,14.0,8.0,0.047,1771,"2024-11-27","Hyderabad","mobile","analytics for data"
"A1067","Data Analytics Course",138.0,5751.0,199.11,26.0,9.0,0.052,1337,"2024-11-10","Hyderabad","desktop","data analytics online"
"A1068","Data Analytics Course",84.0,4036.0,234.22,23.0,10.0,0.119,1287,"2024-11-04","Hyderabad","desktop","learn data analytics"
"A1069","Data Analytics Course",124.0,4942.0,240.59,18.0,3.0,0.024,1922,"2024-11-16","Hyderabad","desktop","learn data analytics"
"A1070","Data Analytics Course",122.0,4989.0,215.48,12.0,5.0,0.041,1975,"2024-11-06","Hyderabad","mobile","data analytics online"
"A1071","Data Analytics Course",180.0,3006.0,228.14,22.0,7.0,0.039,1556,"2024-11-04","Hyderabad","tablet","learn data analytics"
"A1072","Data Analytics Course",133.0,3728.0,199.13,11.0,10.0,0.0,0,"2024-11-09","Hyderabad","desktop","data analytics online"
"A1073","Data Analytics Course",164.0,3734.0,225.39,27.0,8.0,0.04,1728,"2024-11-12","Hyderabad","tablet","learn data analytics"
"A1074","Data Analytics Course",150.0,4621.0,246.3,15.0,6.0,0.049,1554,"2024-11-09","Hyderabad","desktop","data analytics online"
"A1075","Data Analytics Course",97.0,3212.0,212.55,27.0,10.0,0.103,1994,"2024-11-23","Hyderabad","desktop","analytics for data"
"A1076","Data Analytics Course",128.0,4225.0,228.24,30.0,4.0,0.031,1618,"2024-11-08","Hyderabad","mobile","learn data analytics"
"A1077","Data Analytics Course",99.0,4779.0,233.78,26.0,10.0,0.101,1086,"2024-11-05","Hyderabad","desktop","online data analytics"
"A1078","Data Analytics Course",86.0,5352.0,234.05,11.0,5.0,0.058,1364,"2024-11-09","Hyderabad","tablet","online data analytics"
"A1079","Data Analytics Course",118.0,5405.0,187.28,25.0,7.0,0.058,1836,"2024-11-05","Hyderabad","tablet","analytics for data"
"A1080","Data Analytics Course",127.0,5430.0,199.13,14.0,6.0,0.047,1932,"2024-11-25","Hyderabad","mobile","analytics for data"
"A1081","Data Analytics Course",83.0,4808.0,241.35,20.0,7.0,0.084,1038,"2024-11-30","Hyderabad","mobile","learn data analytics"
"A1082","Data Analytics Course",149.0,3587.0,217.53,23.0,8.0,0.0,0,"2024-11-17","Hyderabad","mobile","data analytics online"
"A1083","Data Analytics Course",168.0,4683.0,215.28,30.0,8.0,0.048,1327,"2024-11-28","Hyderabad","mobile","data analytics online"
"A1084","Data Analytics Course",112.0,5814.0,227.38,11.0,8.0,0.071,1467,"2024-11-03","Hyderabad","tablet","analytics for data"
"A1085","Data Analytics Course",123.0,3292.0,233.2,28.0,6.0,0.049,1174,"2024-11-19","Hyderabad","desktop","data analytics training"
"A1086","Data Analytics Course",174.0,4305.0,206.02,20.0,3.0,0.034,1057,"2024-11-23","Hyderabad","desktop","learn data analytics"
"A1087","Data Analytics Course",143.0,4368.0,0.0,27.0,7.0,0.049,1199,"2024-11-03","Hyderabad","tablet","analytics for data"
"A1088","Data Analytics Course",195.0,5935.0,209.68,23.0,9.0,0.046,1966,"2024-11-07","Hyderabad","tablet","online data analytics"
"A1089","Data Analytics Course",176.0,5847.0,241.04,13.0,6.0,0.034,1194,"2024-11-02","Hyderabad","desktop","online data analytics"
"A1090","Data Analytics Course",141.0,4851.0,227.39,28.0,5.0,0.0,1821,"2024-11-15","Hyderabad","desktop","analytics for data"
"A1091","Data Analytics Course",108.0,4710.0,204.16,19.0,10.0,0.093,1731,"2024-11-20","Hyderabad","tablet","data analytics online"
"A1092","Data Analytics Course",112.0,3345.0,0.0,11.0,6.0,0.047,1859,"2024-11-23","Hyderabad","tablet","analytics for data"
"A1094","Data Analytics Course",145.0,5004.0,216.45,22.0,5.0,0.034,1496,"2024-11-01","Hyderabad","tablet","data analytics online"
"A1095","Data Analytics Course",183.0,3947.0,197.3,15.0,8.0,0.044,1645,"2024-11-14","Hyderabad","desktop","data analytics training"
"A1096","Data Analytics Course",113.0,3690.0,229.42,20.0,5.0,0.044,1915,"2024-11-28","Hyderabad","tablet","learn data analytics"
"A1097","Data Analytics Course",101.0,5943.0,187.32,27.0,6.0,0.059,1614,"2024-11-15","Hyderabad","tablet","data analytics online"
"A1098","Data Analytics Course",189.0,5357.0,222.5,24.0,3.0,0.05,1839,"2024-11-25","Hyderabad","tablet","data analytics course"
"A1099","Data Analytics Course",154.0,3596.0,236.14,30.0,9.0,0.058,1036,"2024-11-06","Hyderabad","tablet","online data analytics"
"A1100","Data Analytics Course",179.0,5162.0,246.76,16.0,5.0,0.05,1052,"2024-11-29","Hyderabad","desktop","online data analytics"
"A1101","Data Analytics Course",148.0,3747.0,244.41,18.0,8.0,0.054,1092,"2024-11-17","Hyderabad","tablet","learn data analytics"
"A1102","Data Analytics Course",177.0,4822.0,197.03,26.0,9.0,0.051,1909,"2024-11-04","Hyderabad","mobile","online data analytics"
"A1103","Data Analytics Course",119.0,5800.0,221.36,11.0,8.0,0.0,0,"2024-11-29","Hyderabad","desktop","analytics for data"
"A1104","Data Analytics Course",89.0,3594.0,0.0,14.0,6.0,0.067,1026,"2024-11-15","Hyderabad","tablet","data analytics course"
"A1105","Data Analytics Course",146.0,4765.0,230.22,23.0,5.0,0.034,1944,"2024-11-28","Hyderabad","tablet","analytics for data"
"A1106","Data Analytics Course",109.0,4128.0,183.65,12.0,5.0,0.0,0,"2024-11-30","Hyderabad","desktop","data analytics online"
"A1107","Data Analytics Course",159.0,5127.0,197.16,21.0,4.0,0.025,1867,"2024-11-03","Hyderabad","tablet","learn data analytics"
"A1108","Data Analytics Course",144.0,5674.0,235.36,12.0,3.0,0.021,1505,"2024-11-22","Hyderabad","desktop","analytics for data"
"A1109","Data Analytics Course",122.0,3793.0,237.22,19.0,8.0,0.066,1842,"2024-11-20","Hyderabad","tablet","online data analytics"
"A1110","Data Analytics Course",112.0,4315.0,235.33,28.0,9.0,0.08,1116,"2024-11-08","Hyderabad","mobile","data analytics course"
"A1111","Data Analytics Course",174.0,4704.0,192.32,21.0,10.0,0.049,1501,"2024-11-24","Hyderabad","mobile","learn data analytics"
"A1112","Data Analytics Course",168.0,3349.0,235.6,23.0,9.0,0.054,1894,"2024-11-09","Hyderabad","mobile","online data analytics"
"A1113","Data Analytics Course",173.0,3501.0,223.9,28.0,10.0,0.044,1179,"2024-11-25","Hyderabad","mobile","data analytics course"
"A1115","Data Analytics Course",140.0,5405.0,195.69,21.0,8.0,0.0,1094,"2024-11-21","Hyderabad","desktop","data analytics training"
"A1116","Data Analytics Course",93.0,3425.0,229.76,26.0,4.0,0.043,1344,"2024-11-24","Hyderabad","mobile","online data analytics"
"A1117","Data Analytics Course",114.0,5263.0,189.13,23.0,5.0,0.044,1434,"2024-11-05","Hyderabad","mobile","data analytics course"
"A1118","Data Analytics Course",172.0,3889.0,0.0,21.0,10.0,0.0,1766,"2024-11-16","Hyderabad","tablet","online data analytics"
"A1119","Data Analytics Course",188.0,3327.0,193.76,24.0,6.0,0.047,1220,"2024-11-03","Hyderabad","tablet","online data analytics"
"A1121","Data Analytics Course",113.0,5471.0,215.57,27.0,9.0,0.038,1123,"2024-11-23","Hyderabad","mobile","analytics for data"
"A1122","Data Analytics Course",109.0,3550.0,240.33,14.0,8.0,0.073,1982,"2024-11-24","Hyderabad","tablet","learn data analytics"
"A1123","Data Analytics Course",174.0,3178.0,225.67,18.0,10.0,0.057,1140,"2024-11-20","Hyderabad","desktop","data analytics online"
"A1124","Data Analytics Course",96.0,4673.0,192.88,24.0,5.0,0.052,1962,"2024-11-10","Hyderabad","mobile","learn data analytics"
"A1125","Data Analytics Course",110.0,4254.0,187.87,11.0,4.0,0.0,1172,"2024-11-04","Hyderabad","mobile","data analytics training"
"A1126","Data Analytics Course",163.0,3658.0,237.63,23.0,7.0,0.043,1699,"2024-11-23","Hyderabad","tablet","online data analytics"
"A1127","Data Analytics Course",161.0,5319.0,235.98,13.0,4.0,0.025,1423,"2024-11-18","Hyderabad","mobile","learn data analytics"
"A1128","Data Analytics Course",195.0,5278.0,193.49,30.0,7.0,0.047,1456,"2024-11-04","Hyderabad","mobile","data analytics course"
"A1129","Data Analytics Course",84.0,3755.0,218.88,14.0,9.0,0.047,1299,"2024-11-05","Hyderabad","tablet","analytics for data"
"A1130","Data Analytics Course",113.0,4580.0,194.82,11.0,6.0,0.059,1248,"2024-11-28","Hyderabad","tablet","data analytics course"
"A1131","Data Analytics Course",117.0,3809.0,225.14,12.0,5.0,0.032,1495,"2024-11-09","Hyderabad","desktop","data analytics training"
"A1132","Data Analytics Course",135.0,5118.0,219.99,27.0,6.0,0.044,1089,"2024-11-20","Hyderabad","mobile","online data analytics"
"A1133","Data Analytics Course",92.0,5766.0,186.14,28.0,7.0,0.076,1013,"2024-11-27","Hyderabad","tablet","data analytics training"
"A1134","Data Analytics Course",188.0,3934.0,206.21,16.0,9.0,0.048,0,"2024-11-04","Hyderabad","desktop","data analytics course"
"A1135","Data Analytics Course",101.0,4724.0,228.38,13.0,7.0,0.034,1243,"2024-11-20","Hyderabad","desktop","learn data analytics"
"A1136","Data Analytics Course",111.0,5895.0,205.25,29.0,4.0,0.036,1693,"2024-11-04","Hyderabad","mobile","data analytics course"
"A1137","Data Analytics Course",122.0,4048.0,202.23,28.0,10.0,0.082,0,"2024-11-26","Hyderabad","mobile","online data analytics"
"A1138","Data Analytics Course",99.0,3169.0,237.68,21.0,6.0,0.0,1509,"2024-11-22","Hyderabad","mobile","online data analytics"
"A1139","Data Analytics Course",154.0,4535.0,229.29,11.0,3.0,0.019,1434,"2024-11-01","Hyderabad","tablet","data analytics training"
"A1140","Data Analytics Course",129.0,3849.0,249.29,22.0,10.0,0.078,1767,"2024-11-11","Hyderabad","desktop","analytics for data"
"A1142","Data Analytics Course",143.0,3628.0,0.0,18.0,9.0,0.063,1566,"2024-11-17","Hyderabad","tablet","data analytics course"
"A1143","Data Analytics Course",80.0,3269.0,0.0,12.0,4.0,0.05,1753,"2024-11-23","Hyderabad","desktop","data analytics online"
"A1144","Data Analytics Course",134.0,3724.0,188.02,26.0,9.0,0.047,1891,"2024-11-07","Hyderabad","desktop","online data analytics"
"A1145","Data Analytics Course",174.0,4838.0,242.35,21.0,3.0,0.017,1599,"2024-11-22","Hyderabad","desktop","data analytics online"
"A1146","Data Analytics Course",196.0,4524.0,192.01,15.0,8.0,0.041,1048,"2024-11-13","Hyderabad","desktop","data analytics course"
"A1147","Data Analytics Course",194.0,4694.0,228.15,17.0,7.0,0.036,1874,"2024-11-14","Hyderabad","tablet","learn data analytics"
"A1149","Data Analytics Course",100.0,4235.0,222.61,10.0,8.0,0.051,1814,"2024-11-01","Hyderabad","desktop","data analytics training"
"A1150","Data Analytics Course",153.0,4367.0,184.51,29.0,9.0,0.059,1507,"2024-11-13","Hyderabad","mobile","analytics for data"
"A1151","Data Analytics Course",110.0,3748.0,198.68,24.0,9.0,0.082,1041,"2024-11-05","Hyderabad","tablet","data analytics training"
"A1152","Data Analytics Course",116.0,3901.0,0.0,21.0,4.0,0.034,1483,"2024-11-13","Hyderabad","tablet","online data analytics"
"A1153","Data Analytics Course",156.0,3335.0,236.98,29.0,7.0,0.045,1143,"2024-11-14","Hyderabad","desktop","data analytics course"
"A1154","Data Analytics Course",177.0,5671.0,210.74,19.0,6.0,0.058,1172,"2024-11-25","Hyderabad","tablet","data analytics course"
"A1155","Data Analytics Course",89.0,3408.0,214.78,25.0,9.0,0.101,1898,"2024-11-15","Hyderabad","mobile","data analytics course"
"A1156","Data Analytics Course",155.0,4422.0,183.96,14.0,8.0,0.037,1143,"2024-11-15","Hyderabad","mobile","analytics for data"
"A1157","Data Analytics Course",123.0,3097.0,190.55,20.0,8.0,0.065,1640,"2024-11-22","Hyderabad","tablet","data analytics course"
"A1158","Data Analytics Course",102.0,3621.0,244.82,10.0,5.0,0.049,1375,"2024-11-12","Hyderabad","mobile","learn data analytics"
"A1159","Data Analytics Course",150.0,4806.0,244.53,15.0,9.0,0.0,1602,"2024-11-07","Hyderabad","mobile","data analytics online"
"A1161","Data Analytics Course",143.0,3901.0,191.38,29.0,4.0,0.053,1786,"2024-11-24","Hyderabad","mobile","learn data analytics"
"A1162","Data Analytics Course",178.0,4673.0,222.46,29.0,6.0,0.051,1219,"2024-11-04","Hyderabad","tablet","online data analytics"
"A1163","Data Analytics Course",152.0,3542.0,208.96,13.0,9.0,0.0,1735,"2024-11-13","Hyderabad","desktop","data analytics course"
"A1164","Data Analytics Course",139.0,4347.0,238.19,26.0,5.0,0.0,1384,"2024-11-13","Hyderabad","tablet","analytics for data"
"A1165","Data Analytics Course",175.0,5014.0,247.24,25.0,7.0,0.04,1499,"2024-11-15","Hyderabad","mobile","learn data analytics"
"A1166","Data Analytics Course",92.0,4185.0,218.46,21.0,9.0,0.035,1567,"2024-11-03","Hyderabad","mobile","data analytics online"
"A1167","Data Analytics Course",123.0,5964.0,0.0,17.0,6.0,0.0,1363,"2024-11-03","Hyderabad","desktop","data analytics training"
"A1168","Data Analytics Course",86.0,5124.0,183.71,13.0,10.0,0.116,1137,"2024-11-20","Hyderabad","mobile","data analytics training"
"A1169","Data Analytics Course",117.0,4162.0,238.08,28.0,10.0,0.085,1186,"2024-11-22","Hyderabad","mobile","online data analytics"
"A1170","Data Analytics Course",146.0,4330.0,191.9,20.0,3.0,0.021,1748,"2024-11-09","Hyderabad","mobile","online data analytics"
"A1171","Data Analytics Course",89.0,3268.0,0.0,17.0,4.0,0.045,1233,"2024-11-13","Hyderabad","desktop","online data analytics"
"A1172","Data Analytics Course",195.0,3483.0,213.99,27.0,7.0,0.036,1796,"2024-11-23","Hyderabad","desktop","learn data analytics"
"A1173","Data Analytics Course",170.0,4519.0,240.63,22.0,7.0,0.041,1012,"2024-11-27","Hyderabad","mobile","analytics for data"
"A1174","Data Analytics Course",97.0,3605.0,240.29,21.0,7.0,0.045,1682,"2024-11-10","Hyderabad","desktop","data analytics online"
"A1175","Data Analytics Course",159.0,5076.0,204.97,15.0,10.0,0.063,1638,"2024-11-17","Hyderabad","tablet","data analytics course"
"A1176","Data Analytics Course",131.0,5352.0,225.86,24.0,10.0,0.0,1961,"2024-11-20","Hyderabad","mobile","online data analytics"
"A1177","Data Analytics Course",108.0,5503.0,185.26,11.0,7.0,0.065,1921,"2024-11-06","Hyderabad","mobile","data analytics online"
"A1178","Data Analytics Course",93.0,4308.0,209.83,19.0,9.0,0.097,1694,"2024-11-20","Hyderabad","mobile","data analytics course"
"A1179","Data Analytics Course",137.0,3555.0,213.5,29.0,3.0,0.0,0,"2024-11-06","Hyderabad","desktop","data analytics course"
"A1180","Data Analytics Course",81.0,5615.0,193.14,30.0,6.0,0.074,1255,"2024-11-28","Hyderabad","mobile","analytics for data"
"A1181","Data Analytics Course",160.0,4743.0,206.22,23.0,10.0,0.062,1825,"2024-11-20","Hyderabad","mobile","learn data analytics"
"A1182","Data Analytics Course",186.0,3337.0,183.58,16.0,8.0,0.043,1045,"2024-11-30","Hyderabad","desktop","online data analytics"
"A1183","Data Analytics Course",105.0,3234.0,238.8,27.0,10.0,0.095,1248,"2024-11-06","Hyderabad","desktop","online data analytics"
"A1184","Data Analytics Course",131.0,3913.0,203.69,14.0,10.0,0.0,1079,"2024-11-25","Hyderabad","desktop","data analytics training"
"A1185","Data Analytics Course",129.0,3208.0,204.2,18.0,8.0,0.032,1456,"2024-11-29","Hyderabad","desktop","learn data analytics"
"A1186","Data Analytics Course",187.0,5972.0,220.64,30.0,7.0,0.037,1980,"2024-11-14","Hyderabad","desktop","data analytics course"
"A1187","Data Analytics Course",167.0,3662.0,235.43,10.0,7.0,0.042,1684,"2024-11-25","Hyderabad","mobile","data analytics training"
"A1188","Data Analytics Course",140.0,3359.0,182.13,29.0,7.0,0.045,1973,"2024-11-28","Hyderabad","desktop","data analytics online"
"A1189","Data Analytics Course",198.0,3700.0,220.67,14.0,5.0,0.0,1531,"2024-11-10","Hyderabad","mobile","analytics for data"
"A1190","Data Analytics Course",196.0,3835.0,218.07,10.0,9.0,0.041,1871,"2024-11-04","Hyderabad","tablet","online data analytics"
"A1191","Data Analytics Course",140.0,5638.0,208.02,22.0,5.0,0.0,1652,"2024-11-18","Hyderabad","desktop","data analytics training"
"A1192","Data Analytics Course",157.0,5825.0,230.6,16.0,3.0,0.019,1041,"2024-11-16","Hyderabad","desktop","data analytics training"
"A1193","Data Analytics Course",91.0,5428.0,248.38,11.0,3.0,0.033,1835,"2024-11-22","Hyderabad","tablet","learn data analytics"
"A1194","Data Analytics Course",140.0,3571.0,238.12,21.0,9.0,0.064,1762,"2024-11-16","Hyderabad","desktop","learn data analytics"
"A1195","Data Analytics Course",154.0,3638.0,182.17,11.0,8.0,0.056,1413,"2024-11-04","Hyderabad","mobile","online data analytics"
"A1196","Data Analytics Course",133.0,4505.0,200.52,23.0,3.0,0.039,1562,"2024-11-26","Hyderabad","tablet","analytics for data"
"A1198","Data Analytics Course",141.0,3071.0,208.2,10.0,6.0,0.043,1647,"2024-11-18","Hyderabad","tablet","data analytics online"
"A1199","Data Analytics Course",135.0,5682.0,0.0,30.0,3.0,0.0,1445,"2024-11-15","Hyderabad","tablet","data analytics training"
"A1200","Data Analytics Course",199.0,5067.0,247.38,24.0,8.0,0.059,1365,"2024-11-19","Hyderabad","mobile","analytics for data"
"A1201","Data Analytics Course",138.0,3971.0,184.87,28.0,3.0,0.022,1718,"2024-11-07","Hyderabad","tablet","learn data analytics"
"A1202","Data Analytics Course",175.0,4481.0,236.38,21.0,10.0,0.057,1257,"2024-11-20","Hyderabad","desktop","data analytics course"
"A1203","Data Analytics Course",170.0,5476.0,186.29,25.0,4.0,0.024,1731,"2024-11-08","Hyderabad","mobile","analytics for data"
"A1204","Data Analytics Course",138.0,4426.0,203.75,24.0,10.0,0.072,1838,"2024-11-05","Hyderabad","mobile","data analytics course"
"A1205","Data Analytics Course",108.0,4080.0,247.8,18.0,4.0,0.037,1363,"2024-11-30","Hyderabad","tablet","online data analytics"
"A1206","Data Analytics Course",150.0,4113.0,219.67,12.0,7.0,0.047,1196,"2024-11-22","Hyderabad","mobile","learn data analytics"
"A1207","Data Analytics Course",90.0,5119.0,226.58,14.0,10.0,0.111,1348,"2024-11-07","Hyderabad","desktop","analytics for data"
"A1208","Data Analytics Course",98.0,3422.0,223.55,17.0,7.0,0.0,1414,"2024-11-19","Hyderabad","tablet","online data analytics"
"A1209","Data Analytics Course",130.0,3327.0,224.83,13.0,3.0,0.023,1668,"2024-11-16","Hyderabad","mobile","online data analytics"
"A1212","Data Analytics Course",118.0,3970.0,0.0,27.0,9.0,0.076,1036,"2024-11-19","Hyderabad","desktop","data analytics course"
"A1214","Data Analytics Course",183.0,4001.0,237.85,23.0,4.0,0.022,1430,"2024-11-21","Hyderabad","mobile","online data analytics"
